id	restaurantName	area	foodType	googleRating	reviewCount	pricePerPersonTHB	priceCategory	location	btsMrtDistanceM	openingHours	suitableForGroup	sourceUrl	dataQualityScore
r05	Broccoli Revolution	Thonglor	Healthy/Vegan	4.4	762	375	Mid	899 Sukhumvit Soi 49, Khlong Toei Nuea, Bangkok	700	10:00–22:00 daily	True	https://www.wongnai.com/restaurants/broccoli-revolution	100.0
r07	Kuppa Restaurant	Thonglor	Western	4.3	1098	350	Mid	39 Sukhumvit Soi 16, Khlong Toei, Bangkok	1200	09:00–22:00 Mon–Fri; 08:00–22:00 Sat–Sun	partial	https://www.wongnai.com/restaurants/kuppa	100.0
r09	Little Monster Gourmet Burger	Thonglor	Western	4.2	538	300	Low	Thonglor Soi 9, Sukhumvit 55, Bangkok	800	11:00–22:00 daily	partial	https://www.wongnai.com/restaurants/little-monster-burger	100.0
r11	Quince Bangkok	Thonglor	Mediterranean	4.4	428	650	Mid	Sukhumvit Soi 45, Khlong Toei Nuea, Bangkok	1100	12:00–22:30 Mon–Sat; closed Sun	True	https://www.wongnai.com/restaurants/quince-bangkok	100.0
r13	Bo.lan	Thonglor	Thai Fine Dining	4.8	928	1600	High	24 Sukhumvit Soi 53, Khlong Toei Nuea, Bangkok	1200	12:00–14:00, 18:30–22:00 Wed–Sun; closed Mon–Tue	partial	https://www.wongnai.com/restaurants/bolan	100.0
r15	Kaizen Sushi Bar	Thonglor	Japanese	4.3	492	550	Mid	DONKI Mall Thonglor, Sukhumvit Soi 63, Bangkok	200	11:00–22:00 daily	True	https://www.wongnai.com/restaurants/kaizen-sushi-thonglor	100.0
r17	Trattoria da Antonio	Thonglor	Italian	4.4	384	600	Mid	Sukhumvit Soi 61, Khlong Toei Nuea, Bangkok	900	12:00–14:30, 18:00–22:30 Mon–Sat	True	https://www.wongnai.com/restaurants/trattoria-da-antonio	100.0
r19	Mia Dining	Thonglor	Mediterranean	4.5	312	725	Mid	Villa Market, Sukhumvit Soi 49, Bangkok	900	17:00–23:00 Tue–Sun	True	https://www.wongnai.com/restaurants/mia-dining-thonglor	100.0
r21	Mr. Jones Orphanage	Thonglor	Western	4.1	826	230	Low	Gaysorn, 999 Phloen Chit Road, Pathum Wan, Bangkok	4000	10:00–22:00 daily	partial	https://www.wongnai.com/restaurants/mr-jones-orphanage	100.0
r23	Ekkamai 63 Street Food	Thonglor	Thai Street Food	4.2	1240	170	Low	Sukhumvit Soi 63 (Ekkamai), Bangkok	200	17:00–23:00 daily	True	https://www.wongnai.com/restaurants/ekkamai-63-street-food	100.0
r25	Paste Bangkok	Thonglor	Thai Fine Dining	4.6	458	1150	High	3rd Floor, Gaysorn Village, 999 Phloen Chit Road, Bangkok	3500	12:00–14:30, 18:00–22:30 daily	partial	https://www.wongnai.com/restaurants/paste-bangkok	100.0
